
Study name: Static 1(-Default-)
Plot type: Static nodal stress Stress1
18:55, Sunday, February 15, 2026


X Title: Node
Y Title: von Mises (N/m^2)

Point, X, Y1 (von Mises (N/m^2))
195, 194,2.3816E+07  ,
196, 195,2.353E+07   ,
197, 196,2.4268E+07  ,
198, 197,2.6079E+07  ,
199, 198,2.8978E+07  ,
200, 199,3.3226E+07  ,
201, 200,3.744E+07   ,
202, 201,4.1566E+07  ,
203, 202,4.5435E+07  ,
204, 203,5.0713E+07  ,
205, 204,2.6218E+07  ,
206, 205,1.8969E+07  ,
207, 206,4.8105E+07  ,
208, 207,1.8986E+07  ,
209, 208,1.9014E+07  ,
210, 209,2.0338E+07  ,
211, 210,1.9009E+07  ,
212, 211,3.1014E+07  ,
213, 212,1.9781E+07  ,
214, 213,1.9572E+07  ,
215, 214,5.4095E+07  ,
216, 215,2.0185E+07  ,
217, 216,2.0588E+07  ,
218, 217,1.9679E+07  ,
219, 218,1.9044E+07  ,
220, 219,1.4055E+06  ,
221, 220,3.7167E+07  ,
222, 221,3.094E+07   ,
223, 222,1.8961E+07  ,
224, 223,1.8991E+07  ,
225, 224,5.0737E+07  ,
226, 225,5.497E+07   ,
227, 226,3.0878E+07  ,
228, 227,1.9343E+07  ,
229, 228,1.8981E+07  ,
230, 229,1.8991E+07  ,
231, 230,2.5794E+07  ,
232, 231,2.4265E+07  ,
233, 232,4.2616E+07  ,
234, 233,3.3575E+07  ,
235, 234,1.8991E+07  ,
236, 235,5.4756E+07  ,
237, 236,2.0416E+07  ,
238, 237,2.0259E+07  ,
239, 238,4.8013E+07  ,
240, 239,3.5346E+07  ,
241, 240,3.985E+07   ,
242, 241,3.9987E+07  ,
243, 242,3.6782E+07  ,
244, 243,1.9024E+07  ,
245, 244,1.9036E+07  ,
246, 245,1.9006E+07  ,
247, 246,3.4214E+07  ,
248, 247,2.0036E+07  ,
249, 248,2.0008E+07  ,
250, 249,3.2947E+07  ,
251, 250,3.8896E+07  ,
252, 251,2.0707E+07  ,
253, 252,1.9019E+07  ,
254, 253,2.5651E+07  ,
255, 254,2.3307E+07  ,
256, 255,2.4139E+07  ,
257, 256,1.9007E+07  ,
258, 257,1.9027E+07  ,
259, 258,1.8944E+07  ,
260, 259,2.3716E+07  ,
261, 260,3.0747E+07  ,
262, 261,1.9297E+07  ,
263, 262,1.9527E+07  ,
264, 263,1.9004E+07  ,
265, 264,4.2387E+07  ,
266, 265,2.3803E+07  ,
267, 266,1.9182E+07  ,
268, 267,1.8953E+07  ,
269, 268,2.2275E+07  ,
270, 269,2.3576E+07  ,
271, 270,3.0828E+07  ,
272, 271,1.9015E+07  ,
273, 272,2.9944E+07  ,
274, 273,2.9897E+07  ,
275, 274,2.1663E+07  ,
276, 275,2.2264E+07  ,
277, 276,5.4609E+07  ,
278, 277,1.8962E+07  ,
279, 278,4.3952E+07  ,
280, 279,1.9871E+07  ,
281, 280,3.0548E+07  ,
282, 281,1.9284E+07  ,
283, 282,2.5028E+07  ,
284, 283,1.9074E+07  ,
285, 284,2.0771E+07  ,
286, 285,3.1855E+07  ,
287, 286,1.8987E+07  ,
288, 287,3.1193E+06  ,
289, 288,1.914E+07   ,
290, 289,2.7536E+07  ,
291, 290,2.4619E+07  ,
292, 291,2.1167E+07  ,
293, 292,1.9085E+07  ,
294, 293,1.9004E+07  ,
295, 294,5.2285E+06  ,
296, 295,2.4382E+07  ,
297, 296,1.0677E+06  ,
298, 297,2.2577E+07  ,
299, 298,1.9004E+07  ,
300, 299,1.9412E+07  ,
301, 300,1.8976E+07  ,
302, 301,1.8964E+07  ,
303, 302,1.8996E+07  ,
304, 303,1.9005E+07  ,
305, 304,1.9354E+07  ,
306, 305,1.8992E+07  ,
307, 306,1.8993E+07  ,
308, 307,2.0967E+07  ,
309, 308,1.8978E+07  ,
310, 309,1.9584E+07  ,
311, 310,1.8968E+07  ,
312, 311,1.9056E+07  ,
313, 312,2.5507E+07  ,
314, 313,2.3021E+07  ,
315, 314,2.6113E+07  ,
316, 315,2.7945E+07  ,
317, 316,1.8956E+07  ,
318, 317,6.7485E+06  ,
319, 318,1.8986E+07  ,
320, 319,2.9226E+07  ,
321, 320,2.6827E+07  ,
322, 321,1.8965E+07  ,
323, 322,1.9607E+06  ,
324, 323,4.5707E+05  ,
325, 324,2.3453E+06  ,
326, 325,1.9464E+07  ,
327, 326,2.7431E+07  ,
328, 327,1.905E+07   ,
329, 328,4.3698E+07  ,
330, 329,2.4921E+07  ,
331, 330,2.8236E+07  ,
332, 331,2.1388E+07  ,
333, 332,1.8972E+07  ,
334, 333,1.9204E+07  ,
335, 334,1.8952E+07  ,
336, 335,1.8923E+07  ,
337, 336,1.8955E+07  ,
338, 337,1.9657E+07  ,
339, 338,1.9184E+07  ,
340, 339,2.0503E+07  ,
341, 340,1.9002E+07  ,
342, 341,1.2295E+07  ,
343, 342,5.6095E+05  ,
344, 343,3.8217E+07  ,
345, 344,2.0138E+07  ,
346, 345,3.1002E+07  ,
347, 346,3.5586E+07  ,
348, 347,1.9001E+07  ,
349, 348,1.9201E+07  ,
350, 349,4.0452E+06  ,
351, 350,1.8992E+07  ,
352, 351,2.6838E+07  ,
353, 352,1.9116E+07  ,
354, 353,1.9166E+07  ,
355, 354,1.8946E+07  ,
356, 355,1.9008E+07  ,
357, 356,2.903E+07   ,
358, 357,4.0882E+07  ,
359, 358,4.2993E+07  ,
360, 359,5.3182E+07  ,
361, 360,1.895E+07   ,
362, 361,2.1161E+07  ,
363, 362,8.589E+06   ,
364, 363,2.3889E+07  ,
365, 364,1.8935E+07  ,
366, 365,2.7554E+07  ,
367, 366,2.837E+07   ,
368, 367,2.2928E+07  ,
369, 368,1.6716E+06  ,
370, 369,1.8946E+07  ,
371, 370,1.9E+07     ,
372, 371,1.9045E+07  ,
373, 372,2.2639E+07  ,
374, 373,2.1973E+07  ,
375, 374,3.324E+07   ,
376, 375,2.0917E+07  ,
377, 376,1.8936E+07  ,
378, 377,1.9001E+07  ,
379, 378,1.9003E+07  ,
380, 379,2.3447E+07  ,
381, 380,2.1968E+07  ,
382, 381,2.141E+07   ,
383, 382,1.9489E+07  ,
384, 383,1.9074E+07  ,
385, 384,1.9006E+07  ,
386, 385,1.8953E+07  ,
387, 386,1.9897E+07  ,
388, 387,1.8998E+07  ,
389, 388,1.9096E+07  ,
390, 389,1.9221E+07  ,
391, 390,4.552E+07   ,
392, 391,2.1676E+07  ,
393, 392,1.8994E+07  ,
394, 393,5.3803E+07  ,
395, 394,8.733E+05   ,
396, 395,1.978E+07   ,
397, 396,1.94E+07    ,
398, 397,1.8956E+07  ,
399, 398,2.5132E+07  ,
400, 399,1.8933E+07  ,
401, 400,1.8963E+07  ,
402, 401,1.8991E+07  ,
403, 402,1.8939E+07  ,
404, 403,1.0497E+07  ,
405, 404,1.8974E+07  ,
406, 405,1.9253E+07  ,
