18:54, Sunday, February 15, 2026
Study name:Static 1
Units: mm
Selected reference : N/A
Node  ,X (mm)  ,Y (mm)  ,Z (mm)  ,URES (mm)
9  ,107.981  ,42.2872  ,-68.7909  ,2.40399e-01
77290  ,108.006  ,42.2872  ,-68.452  ,2.40392e-01
72789  ,107.947  ,42.2872  ,-69.1224  ,2.40391e-01
5935  ,107.905  ,42.2872  ,-69.4529  ,2.40368e-01
1110  ,108.022  ,42.2872  ,-68.1126  ,2.40368e-01
84715  ,108.028  ,42.2872  ,-67.6503  ,2.40311e-01
37356  ,107.831  ,42.2872  ,-69.9122  ,2.40311e-01
1109  ,108.018  ,42.2872  ,-67.188  ,2.40225e-01
5936  ,107.741  ,42.2872  ,-70.3684  ,2.40224e-01
72790  ,107.984  ,41.9409  ,-68.7538  ,2.40179e-01
25962  ,107.951  ,41.9409  ,-69.0854  ,2.40173e-01
81493  ,108.008  ,41.9409  ,-68.4148  ,2.40170e-01
37357  ,107.892  ,41.8316  ,-69.5397  ,2.40071e-01
79511  ,108.025  ,41.8221  ,-67.9951  ,2.40061e-01
83210  ,107.975  ,42.2872  ,-66.5452  ,2.40056e-01
88635  ,107.586  ,42.2872  ,-70.9977  ,2.40054e-01
25974  ,107.815  ,41.8316  ,-69.9984  ,2.40007e-01
83221  ,108.027  ,41.8221  ,-67.5327  ,2.39997e-01
7053  ,107.987  ,41.5947  ,-68.7166  ,2.39961e-01
72788  ,107.706  ,42.2872  ,-68.7669  ,2.39902e-01
25960  ,107.668  ,42.2872  ,-69.0979  ,2.39886e-01
77281  ,107.726  ,42.2872  ,-68.4277  ,2.39886e-01
25941  ,107.941  ,41.4854  ,-69.1725  ,2.39882e-01
81494  ,108.014  ,41.4759  ,-68.2974  ,2.39870e-01
1108  ,107.899  ,42.2872  ,-65.9053  ,2.39831e-01
25972  ,107.69  ,41.7543  ,-70.5916  ,2.39831e-01
83211  ,108.006  ,41.7514  ,-66.9517  ,2.39829e-01
5937  ,107.399  ,42.2872  ,-71.6182  ,2.39827e-01
7065  ,107.879  ,41.3761  ,-69.6263  ,2.39774e-01
