
Study name: Static 2(-Default-)
Plot type: Static nodal stress Stress1
18:45, Sunday, February 15, 2026


X Title: Node
Y Title: von Mises (N/m^2)

Point, X, Y1 (von Mises (N/m^2))
195, 194,2.9041E+07  ,
196, 195,2.9178E+07  ,
197, 196,3.8355E+07  ,
198, 197,3.659E+07   ,
199, 198,3.5812E+07  ,
200, 199,3.4098E+07  ,
201, 200,3.1921E+07  ,
202, 201,3.5895E+07  ,
203, 202,2.9031E+07  ,
204, 203,3.024E+07   ,
205, 204,3.935E+07   ,
206, 205,4.2845E+07  ,
207, 206,5.5545E+07  ,
208, 207,2.9032E+07  ,
209, 208,2.8624E+07  ,
210, 209,2.8599E+07  ,
211, 210,6.5714E+07  ,
212, 211,2.9066E+07  ,
213, 212,2.9019E+07  ,
214, 213,1.0978E+06  ,
215, 214,2.9907E+07  ,
216, 215,4.5912E+06  ,
217, 216,1.8997E+06  ,
218, 217,3.6868E+07  ,
219, 218,2.8937E+07  ,
220, 219,2.8829E+07  ,
221, 220,3.3289E+07  ,
222, 221,3.3828E+07  ,
223, 222,2.8885E+07  ,
224, 223,2.8652E+07  ,
225, 224,3.2781E+07  ,
226, 225,3.9949E+07  ,
227, 226,2.9031E+07  ,
228, 227,2.9624E+07  ,
229, 228,2.8547E+07  ,
230, 229,6.7355E+07  ,
231, 230,2.9946E+07  ,
232, 231,2.8792E+07  ,
233, 232,2.912E+07   ,
234, 233,2.9029E+07  ,
235, 234,3.8911E+07  ,
236, 235,2.9031E+07  ,
237, 236,4.5695E+07  ,
238, 237,3.4966E+07  ,
239, 238,2.8977E+07  ,
240, 239,3.1296E+07  ,
241, 240,2.8541E+07  ,
242, 241,3.0329E+07  ,
243, 242,4.2017E+07  ,
244, 243,2.8652E+07  ,
245, 244,2.9047E+07  ,
246, 245,7.3537E+06  ,
247, 246,4.4216E+07  ,
248, 247,3.7441E+07  ,
249, 248,3.5087E+07  ,
250, 249,4.3017E+07  ,
251, 250,4.9095E+07  ,
252, 251,4.0428E+07  ,
253, 252,6.6095E+07  ,
254, 253,2.9034E+07  ,
255, 254,6.754E+07   ,
256, 255,3.4428E+07  ,
257, 256,4.7313E+07  ,
258, 257,4.0993E+07  ,
259, 258,2.8922E+07  ,
260, 259,2.868E+07   ,
261, 260,2.9358E+07  ,
262, 261,2.9031E+07  ,
263, 262,3.0777E+07  ,
264, 263,2.9139E+07  ,
265, 264,2.9026E+07  ,
266, 265,2.9024E+07  ,
267, 266,3.1557E+07  ,
268, 267,2.8968E+07  ,
269, 268,3.3278E+07  ,
270, 269,3.0445E+07  ,
271, 270,3.1227E+07  ,
272, 271,3.0936E+07  ,
273, 272,2.9056E+07  ,
274, 273,3.1888E+07  ,
275, 274,5.3179E+07  ,
276, 275,2.9004E+07  ,
277, 276,2.8995E+07  ,
278, 277,2.418E+06   ,
279, 278,2.9036E+07  ,
