
Study name: Static 2(-Default-)
Plot type: Static displacement Displacement1
18:46, Sunday, February 15, 2026


X Title: Node
Y Title: URES (mm)

Point, X, Y1 (URES (mm))
240, 239,0.10858     ,
241, 240,0.13451     ,
242, 241,0.11212     ,
243, 242,0.089039    ,
244, 243,0.14626     ,
245, 244,0.2272      ,
246, 245,0.382       ,
247, 246,0.31184     ,
248, 247,0.2986      ,
249, 248,0.29202     ,
250, 249,0.08758     ,
251, 250,0.31852     ,
252, 251,0.30521     ,
253, 252,0.33995     ,
254, 253,0.2208      ,
255, 254,0.33652     ,
256, 255,0.28984     ,
257, 256,0.31629     ,
258, 257,0.09053     ,
259, 258,0.16845     ,
260, 259,0.14824     ,
261, 260,0.11755     ,
262, 261,0.20384     ,
263, 262,0.11035     ,
264, 263,0.11939     ,
265, 264,0.19333     ,
266, 265,0.19124     ,
267, 266,0.27676     ,
268, 267,0.12124     ,
269, 268,0.28547     ,
270, 269,0.26807     ,
271, 270,0.27458     ,
272, 271,0.27241     ,
273, 272,0.22933     ,
274, 273,0.10684     ,
275, 274,0.32299     ,
276, 275,0.1829      ,
277, 276,0.18082     ,
278, 277,0.38634     ,
279, 278,0.22293     ,
