18:33, Sunday, February 15, 2026
Study name:Static 1
Units: mm
Selected reference : N/A
Node  ,X (mm)  ,Y (mm)  ,Z (mm)  ,URES (mm)
9  ,107.981  ,42.2872  ,-68.7909  ,2.46592e-01
77290  ,108.006  ,42.2872  ,-68.452  ,2.46578e-01
72789  ,107.947  ,42.2872  ,-69.1224  ,2.46577e-01
5935  ,107.905  ,42.2872  ,-69.4529  ,2.46534e-01
1110  ,108.022  ,42.2872  ,-68.1126  ,2.46533e-01
37356  ,107.831  ,42.2872  ,-69.9122  ,2.46426e-01
84715  ,108.028  ,42.2872  ,-67.6503  ,2.46425e-01
5936  ,107.741  ,42.2872  ,-70.3684  ,2.46262e-01
1109  ,108.018  ,42.2872  ,-67.188  ,2.46262e-01
72790  ,107.984  ,41.9409  ,-68.7538  ,2.46238e-01
25962  ,107.951  ,41.9409  ,-69.0854  ,2.46226e-01
81493  ,108.008  ,41.9409  ,-68.4148  ,2.46220e-01
72788  ,107.706  ,42.2872  ,-68.7669  ,2.46116e-01
25960  ,107.668  ,42.2872  ,-69.0979  ,2.46094e-01
77281  ,107.726  ,42.2872  ,-68.4277  ,2.46093e-01
37357  ,107.892  ,41.8316  ,-69.5397  ,2.46053e-01
79511  ,108.025  ,41.8221  ,-67.9951  ,2.46036e-01
83210  ,107.975  ,42.2872  ,-66.5452  ,2.45945e-01
88635  ,107.586  ,42.2872  ,-70.9977  ,2.45943e-01
25974  ,107.815  ,41.8316  ,-69.9984  ,2.45936e-01
83221  ,108.027  ,41.8221  ,-67.5327  ,2.45916e-01
25959  ,107.538  ,42.2872  ,-69.4489  ,2.45899e-01
7053  ,107.987  ,41.5947  ,-68.7166  ,2.45888e-01
77291  ,107.73  ,42.0396  ,-68.5211  ,2.45867e-01
77280  ,107.643  ,42.2872  ,-68.0017  ,2.45858e-01
77282  ,107.75  ,42.0396  ,-68.182  ,2.45834e-01
37355  ,107.455  ,42.2872  ,-69.9066  ,2.45773e-01
25961  ,107.709  ,41.9409  ,-68.7297  ,2.45767e-01
25941  ,107.941  ,41.4854  ,-69.1725  ,2.45760e-01
81494  ,108.014  ,41.4759  ,-68.2974  ,2.45739e-01
83220  ,107.641  ,42.2872  ,-67.5395  ,2.45729e-01
1111  ,107.431  ,42.2872  ,-68.7428  ,2.45640e-01
25972  ,107.69  ,41.7543  ,-70.5916  ,2.45624e-01
83211  ,108.006  ,41.7514  ,-66.9517  ,2.45617e-01
25942  ,107.579  ,41.9409  ,-69.0808  ,2.45592e-01
7065  ,107.879  ,41.3761  ,-69.6263  ,2.45580e-01
7079  ,108.027  ,41.3571  ,-67.8775  ,2.45546e-01
1108  ,107.899  ,42.2872  ,-65.9053  ,2.45529e-01
5937  ,107.399  ,42.2872  ,-71.6182  ,2.45523e-01
81495  ,107.733  ,41.6934  ,-68.484  ,2.45521e-01
25958  ,107.3  ,42.2872  ,-69.0938  ,2.45461e-01
25940  ,107.525  ,41.8316  ,-69.5356  ,2.45428e-01
25934  ,107.347  ,42.2872  ,-68.3168  ,2.45423e-01
25937  ,107.455  ,42.0396  ,-68.4971  ,2.45396e-01
79512  ,107.646  ,41.8221  ,-67.8842  ,2.45370e-01
79513  ,107.753  ,41.5746  ,-68.0644  ,2.45351e-01
25973  ,107.771  ,41.2987  ,-70.223  ,2.45328e-01
80432  ,108.022  ,41.2863  ,-67.2962  ,2.45300e-01
33408  ,107.524  ,41.7543  ,-71.218  ,2.45274e-01
76742  ,107.951  ,41.7514  ,-66.3098  ,2.45268e-01
6174  ,107.17  ,42.2872  ,-69.4449  ,2.45266e-01
80838  ,107.985  ,40.9409  ,-68.742  ,2.45241e-01
47983  ,107.142  ,42.2872  ,-70.3577  ,2.45217e-01
83209  ,107.422  ,42.2872  ,-67.027  ,2.45185e-01
1641  ,107.264  ,42.2872  ,-67.8909  ,2.45183e-01
25938  ,107.372  ,42.0396  ,-68.0711  ,2.45167e-01
25936  ,107.156  ,42.2872  ,-68.7187  ,2.45166e-01
25975  ,107.373  ,41.8157  ,-70.1704  ,2.45160e-01
10835  ,107.479  ,41.7921  ,-68.2514  ,2.45146e-01
80839  ,107.938  ,40.8316  ,-69.1978  ,2.45114e-01
50921  ,108.013  ,40.8221  ,-68.3229  ,2.45099e-01
7066  ,107.635  ,41.2214  ,-70.8138  ,2.44988e-01
74798  ,107.025  ,42.2872  ,-69.0698  ,2.44987e-01
87384  ,107.839  ,40.8316  ,-69.8702  ,2.44986e-01
7064  ,107.989  ,41.2156  ,-66.7157  ,2.44974e-01
50920  ,108.028  ,40.8221  ,-67.6551  ,2.44965e-01
25945  ,107.412  ,41.6149  ,-68.7833  ,2.44954e-01
25935  ,107.072  ,42.2872  ,-68.2928  ,2.44949e-01
80840  ,107.622  ,41.2666  ,-68.5741  ,2.44935e-01
25939  ,107.18  ,42.0396  ,-68.473  ,2.44925e-01
72282  ,107.766  ,42.2872  ,-65.1563  ,2.44913e-01
80833  ,107.139  ,42.2872  ,-72.3332  ,2.44907e-01
23615  ,106.971  ,42.2872  ,-70.9826  ,2.44861e-01
25977  ,107.442  ,41.3602  ,-69.7994  ,2.44837e-01
