18:34, Sunday, February 15, 2026
Study name:Static 1
Units: N/m^2
Selected reference : N/A
Node  ,X (mm)  ,Y (mm)  ,Z (mm)  ,VON (N/m^2)
1057  ,96.4132  ,40.7869  ,-72.6226  ,1.38819e+08
15330  ,97.3546  ,41.7914  ,-63.0469  ,1.38815e+08
7249  ,96.4353  ,41.7804  ,-72.6185  ,1.38809e+08
60642  ,96.8372  ,40.9365  ,-72.5271  ,1.38807e+08
36360  ,97.6237  ,40.9391  ,-63.1617  ,1.38807e+08
50015  ,97.1427  ,41.0922  ,-62.9693  ,1.38800e+08
1040  ,96.8811  ,41.0922  ,-72.515  ,1.38791e+08
83026  ,96.2563  ,41.0922  ,-72.6482  ,1.38778e+08
61021  ,96.925  ,41.3847  ,-72.5024  ,1.38772e+08
60648  ,96.925  ,41.1897  ,-72.5024  ,1.38745e+08
37030  ,96.391  ,41.6313  ,-72.6265  ,1.38745e+08
7241  ,96.8811  ,41.4822  ,-72.515  ,1.38723e+08
15334  ,97.1197  ,41.6347  ,-62.9615  ,1.38710e+08
25588  ,96.3009  ,41.6313  ,-72.6414  ,1.38690e+08
1058  ,96.7932  ,40.7808  ,-72.5389  ,1.38682e+08
14044  ,96.2563  ,41.4822  ,-72.6482  ,1.38599e+08
15331  ,97.4694  ,41.944  ,-63.0936  ,1.38595e+08
71566  ,96.4698  ,40.6345  ,-72.612  ,1.38591e+08
50014  ,97.0995  ,41.1897  ,-62.9547  ,1.38589e+08
50348  ,97.733  ,41.2872  ,-63.2138  ,1.38577e+08
1090  ,97.1765  ,40.7907  ,-62.9809  ,1.38573e+08
14136  ,97.0995  ,41.3847  ,-62.9547  ,1.38568e+08
966  ,97.733  ,41.0922  ,-63.2138  ,1.38531e+08
32723  ,96.5648  ,41.9361  ,-72.5929  ,1.38505e+08
86743  ,97.1164  ,40.9414  ,-62.9604  ,1.38473e+08
14069  ,96.2111  ,41.3847  ,-72.6546  ,1.38471e+08
7282  ,97.1831  ,41.7872  ,-62.9832  ,1.38469e+08
15325  ,97.2995  ,41.9399  ,-63.0257  ,1.38465e+08
55616  ,96.2898  ,40.9395  ,-72.6432  ,1.38458e+08
74506  ,96.2111  ,41.1897  ,-72.6546  ,1.38447e+08
83040  ,97.056  ,41.2872  ,-62.9406  ,1.38445e+08
795  ,96.9688  ,41.2872  ,-72.4895  ,1.38400e+08
15720  ,96.8511  ,41.6322  ,-72.5233  ,1.38350e+08
80545  ,97.5404  ,40.6341  ,-63.1242  ,1.38346e+08
34935  ,96.6601  ,40.6315  ,-72.5717  ,1.38317e+08
37199  ,96.9688  ,41.4822  ,-72.4895  ,1.38240e+08
958  ,97.056  ,41.0922  ,-62.9406  ,1.38236e+08
60978  ,96.7489  ,40.6315  ,-72.5502  ,1.38227e+08
55394  ,97.2885  ,40.6364  ,-63.0215  ,1.38220e+08
7088  ,97.056  ,41.4822  ,-62.9406  ,1.38210e+08
