
Study name: Static 1(-Default-)
Plot type: Static displacement Displacement1
18:36, Sunday, February 15, 2026


X Title: Node
Y Title: URES (mm)

Point, X, Y1 (URES (mm))
240, 239,0.053533    ,
241, 240,0.053778    ,
242, 241,0.054917    ,
243, 242,0.054516    ,
244, 243,0.14134     ,
245, 244,0.14538     ,
246, 245,0.14437     ,
247, 246,0.19661     ,
248, 247,0.07649     ,
249, 248,0.16687     ,
250, 249,0.1956      ,
251, 250,0.19963     ,
252, 251,0.073415    ,
253, 252,0.14235     ,
254, 253,0.18643     ,
255, 254,0.18129     ,
256, 255,0.18335     ,
257, 256,0.089769    ,
258, 257,0.0889      ,
259, 258,0.10331     ,
260, 259,0.18232     ,
261, 260,0.059885    ,
262, 261,0.15762     ,
263, 262,0.16172     ,
264, 263,0.13033     ,
265, 264,0.056458    ,
266, 265,0.053174    ,
267, 266,0.15352     ,
268, 267,0.10705     ,
269, 268,0.069021    ,
270, 269,0.053221    ,
271, 270,0.19357     ,
272, 271,0.13832     ,
273, 272,0.060483    ,
274, 273,0.19255     ,
275, 274,0.17614     ,
276, 275,0.1782      ,
277, 276,0.054786    ,
278, 277,0.10989     ,
279, 278,0.055895    ,
280, 279,0.16584     ,
281, 280,0.053884    ,
282, 281,0.082951    ,
283, 282,0.053177    ,
284, 283,0.087175    ,
285, 284,0.17202     ,
286, 285,0.19459     ,
287, 286,0.1244      ,
288, 287,0.2387      ,
289, 288,0.1525      ,
290, 289,0.1895      ,
291, 290,0.18437     ,
292, 291,0.17408     ,
293, 292,0.15046     ,
294, 293,0.12048     ,
295, 294,0.23693     ,
296, 295,0.065573    ,
297, 296,0.24142     ,
298, 297,0.17923     ,
299, 298,0.14033     ,
300, 299,0.081299    ,
301, 300,0.092406    ,
302, 301,0.10517     ,
303, 302,0.13731     ,
304, 303,0.13531     ,
305, 304,0.082122    ,
306, 305,0.11951     ,
307, 306,0.12243     ,
308, 307,0.17305     ,
309, 308,0.11467     ,
310, 309,0.16275     ,
311, 310,0.093293    ,
312, 311,0.14843     ,
313, 312,0.064252    ,
314, 313,0.067618    ,
315, 314,0.063603    ,
316, 315,0.053646    ,
317, 316,0.10611     ,
318, 317,0.23607     ,
319, 318,0.090644    ,
320, 319,0.06109     ,
321, 320,0.062963    ,
322, 321,0.11179     ,
323, 322,0.24612     ,
324, 323,0.24328     ,
325, 324,0.2396      ,
326, 325,0.1607      ,
327, 326,0.053234    ,
328, 327,0.14741     ,
329, 328,0.054079    ,
330, 329,0.064908    ,
331, 330,0.19052     ,
332, 331,0.071184    ,
333, 332,0.11371     ,
334, 333,0.15455     ,
335, 334,0.10146     ,
336, 335,0.09779     ,
337, 336,0.10238     ,
338, 337,0.078867    ,
339, 338,0.084624    ,
340, 339,0.074173    ,
341, 340,0.12341     ,
342, 341,0.23427     ,
343, 342,0.24235     ,
344, 343,0.057038    ,
345, 344,0.1679      ,
346, 345,0.053351    ,
347, 346,0.19762     ,
348, 347,0.13231     ,
349, 348,0.083785    ,
350, 349,0.23781     ,
351, 350,0.11563     ,
352, 351,0.18847     ,
353, 352,0.086319    ,
354, 353,0.085469    ,
355, 354,0.10424     ,
356, 355,0.14336     ,
357, 356,0.19154     ,
358, 357,0.20063     ,
359, 358,0.20162     ,
360, 359,0.20556     ,
361, 360,0.099616    ,
362, 361,0.07192     ,
363, 362,0.23531     ,
364, 363,0.066247    ,
365, 364,0.096883    ,
366, 365,0.062331    ,
367, 366,0.061707    ,
368, 367,0.18026     ,
369, 368,0.2405      ,
370, 369,0.09508     ,
371, 370,0.12933     ,
372, 371,0.088035    ,
373, 372,0.068315    ,
374, 373,0.069734    ,
375, 374,0.057611    ,
376, 375,0.072664    ,
377, 376,0.10053     ,
378, 377,0.12735     ,
379, 378,0.12834     ,
380, 379,0.066928    ,
381, 380,0.17717     ,
382, 381,0.17511     ,
383, 382,0.080482    ,
384, 383,0.14945     ,
385, 384,0.13331     ,
386, 385,0.094185    ,
387, 386,0.077276    ,
388, 387,0.12538     ,
389, 388,0.15148     ,
390, 389,0.15557     ,
391, 390,0.20261     ,
392, 391,0.070455    ,
393, 392,0.12637     ,
394, 393,0.20841     ,
395, 394,0.24422     ,
396, 395,0.078068    ,
397, 396,0.15967     ,
398, 397,0.10799     ,
399, 398,0.1854      ,
400, 399,0.09598     ,
401, 400,0.091522    ,
402, 401,0.13132     ,
403, 402,0.098701    ,
404, 403,0.23472     ,
405, 404,0.11275     ,
406, 405,0.15659     ,
