
Study name: Static 1(-Default-)
Plot type: Static displacement Displacement1
18:21, Sunday, February 15, 2026


X Title: Node
Y Title: URES (mm)

Point, X, Y1 (URES (mm))
1, 0,2.1871      ,
2, 1,2.5007      ,
3, 2,2.3692      ,
4, 3,0.89004     ,
5, 4,2.491       ,
6, 5,2.4813      ,
7, 6,2.4716      ,
8, 7,2.4619      ,
9, 8,2.4522      ,
10, 9,2.4426      ,
11, 10,2.4329      ,
12, 11,2.4233      ,
13, 12,2.4137      ,
14, 13,2.404       ,
15, 14,2.3945      ,
16, 15,2.3854      ,
17, 16,2.3782      ,
18, 17,2.3729      ,
19, 18,2.1833      ,
20, 19,2.1781      ,
21, 20,2.1707      ,
22, 21,2.1616      ,
23, 22,2.1519      ,
24, 23,2.1423      ,
25, 24,2.1327      ,
26, 25,2.123       ,
27, 26,2.1134      ,
28, 27,2.1038      ,
29, 28,2.0942      ,
30, 29,2.0846      ,
31, 30,2.075       ,
32, 31,2.0654      ,
33, 32,2.0558      ,
34, 33,2.0462      ,
35, 34,2.0367      ,
36, 35,2.0271      ,
37, 36,2.0176      ,
38, 37,2.008       ,
39, 38,1.9985      ,
40, 39,1.989       ,
41, 40,1.9794      ,
42, 41,1.9699      ,
43, 42,1.9605      ,
44, 43,1.951       ,
45, 44,1.9415      ,
46, 45,1.932       ,
47, 46,1.9226      ,
48, 47,1.9132      ,
49, 48,1.9037      ,
50, 49,1.8943      ,
51, 50,1.8849      ,
52, 51,1.8755      ,
53, 52,1.8662      ,
54, 53,1.8568      ,
55, 54,1.8475      ,
56, 55,1.8381      ,
57, 56,1.8288      ,
58, 57,1.8195      ,
59, 58,1.8102      ,
60, 59,1.8009      ,
61, 60,1.7917      ,
62, 61,1.7824      ,
63, 62,1.7732      ,
64, 63,1.764       ,
65, 64,1.7548      ,
66, 65,1.7456      ,
67, 66,1.7364      ,
68, 67,1.7273      ,
69, 68,1.7182      ,
70, 69,1.709       ,
71, 70,1.7         ,
72, 71,1.6909      ,
73, 72,1.6818      ,
74, 73,1.6728      ,
75, 74,1.6638      ,
76, 75,1.6548      ,
77, 76,1.6458      ,
78, 77,1.6368      ,
79, 78,1.6279      ,
80, 79,1.619       ,
81, 80,1.6101      ,
82, 81,1.6012      ,
83, 82,1.5924      ,
84, 83,1.5835      ,
85, 84,1.5747      ,
86, 85,1.566       ,
87, 86,1.5572      ,
88, 87,1.5485      ,
89, 88,1.5398      ,
90, 89,1.5311      ,
91, 90,1.5224      ,
92, 91,1.5138      ,
93, 92,1.5052      ,
94, 93,1.4966      ,
95, 94,1.488       ,
96, 95,1.4795      ,
97, 96,1.471       ,
98, 97,1.4626      ,
99, 98,1.4541      ,
100, 99,1.4457      ,
101, 100,1.4373      ,
102, 101,1.429       ,
103, 102,1.4207      ,
104, 103,1.4124      ,
105, 104,1.4041      ,
106, 105,1.3959      ,
107, 106,1.3877      ,
108, 107,1.3796      ,
109, 108,1.3715      ,
110, 109,1.3634      ,
111, 110,1.3553      ,
112, 111,1.3473      ,
113, 112,1.3394      ,
114, 113,1.3314      ,
115, 114,1.3235      ,
116, 115,1.3157      ,
117, 116,1.3079      ,
118, 117,1.3001      ,
