18:18, Sunday, February 15, 2026
Study name:Static 1
Units: mm
Selected reference : N/A
Node  ,X (mm)  ,Y (mm)  ,Z (mm)  ,URES (mm)
50115  ,107.198  ,41.9358  ,-68.8747  ,2.48447e+00
25548  ,107.6  ,41.2992  ,-67.2663  ,2.48427e+00
73692  ,107.019  ,42.2872  ,-69.0888  ,2.48425e+00
1086  ,107.51  ,42.2872  ,-64.1385  ,2.48409e+00
7335  ,106.709  ,42.2872  ,-73.2904  ,2.48407e+00
9094  ,107.453  ,41.2854  ,-68.4196  ,2.48349e+00
72990  ,106.996  ,41.8673  ,-71.034  ,2.48340e+00
14922  ,107.459  ,41.3943  ,-67.7719  ,2.48335e+00
26491  ,107.04  ,42.2872  ,-68.2217  ,2.48327e+00
45513  ,107.235  ,41.4025  ,-70.1175  ,2.48302e+00
5652  ,107.991  ,40.2872  ,-66.7372  ,2.48295e+00
5655  ,107.634  ,40.2872  ,-70.8178  ,2.48293e+00
81553  ,107.874  ,40.7929  ,-65.7409  ,2.48270e+00
71027  ,107.059  ,41.9358  ,-69.2445  ,2.48259e+00
25524  ,107.113  ,42.0609  ,-68.0102  ,2.48254e+00
25547  ,107.562  ,41.2829  ,-66.6125  ,2.48235e+00
74156  ,106.829  ,42.2872  ,-69.9917  ,2.48219e+00
80439  ,107.344  ,41.7929  ,-66.5195  ,2.48207e+00
25121  ,107.436  ,40.9358  ,-69.2162  ,2.48188e+00
71028  ,106.856  ,42.2872  ,-69.3753  ,2.48180e+00
45506  ,107.242  ,41.56  ,-68.3458  ,2.48166e+00
1091  ,106.884  ,42.2872  ,-68.6949  ,2.48127e+00
25523  ,106.94  ,42.2872  ,-67.9352  ,2.48105e+00
58904  ,106.82  ,41.808  ,-71.9107  ,2.48095e+00
25115  ,107.596  ,40.7772  ,-67.531  ,2.48088e+00
16261  ,107.208  ,41.4349  ,-68.7131  ,2.48074e+00
25530  ,107.184  ,41.7772  ,-67.3252  ,2.48056e+00
26493  ,106.957  ,42.0609  ,-68.4835  ,2.48056e+00
25527  ,106.965  ,42.2872  ,-67.2321  ,2.48033e+00
88071  ,107.65  ,41.2872  ,-64.648  ,2.48024e+00
89170  ,106.935  ,41.2872  ,-72.8131  ,2.48023e+00
71029  ,106.899  ,41.8673  ,-69.8896  ,2.48019e+00
58903  ,106.579  ,42.2872  ,-71.8254  ,2.48013e+00
88096  ,107.287  ,41.8882  ,-65.5894  ,2.48005e+00
81551  ,107.905  ,40.2872  ,-65.9466  ,2.48000e+00
81523  ,107.411  ,40.2872  ,-71.5801  ,2.47999e+00
14921  ,107.455  ,40.8723  ,-68.0367  ,2.47993e+00
11233  ,107.03  ,41.8347  ,-68.272  ,2.47984e+00
91425  ,107.097  ,42.2872  ,-65.6068  ,2.47970e+00
25521  ,107.043  ,41.8723  ,-67.8308  ,2.47964e+00
72900  ,106.924  ,41.9358  ,-68.8507  ,2.47962e+00
25546  ,107.581  ,40.7772  ,-66.8195  ,2.47940e+00
26492  ,106.784  ,42.2872  ,-68.4084  ,2.47907e+00
50116  ,106.997  ,41.7096  ,-68.6392  ,2.47892e+00
73691  ,106.72  ,42.2872  ,-68.9815  ,2.47884e+00
14923  ,107.172  ,41.3714  ,-68.1664  ,2.47878e+00
25526  ,106.857  ,42.0609  ,-68.1969  ,2.47835e+00
45512  ,107.139  ,40.8673  ,-70.5572  ,2.47804e+00
9490  ,106.964  ,41.5845  ,-69.0065  ,2.47798e+00
55464  ,107.247  ,42.2872  ,-63.3518  ,2.47787e+00
37278  ,106.314  ,42.2872  ,-74.0196  ,2.47785e+00
50117  ,107.347  ,40.6903  ,-68.7459  ,2.47784e+00
40552  ,107.325  ,41.3939  ,-65.8784  ,2.47767e+00
25100  ,106.76  ,41.9358  ,-69.1373  ,2.47718e+00
7586  ,106.503  ,42.2872  ,-70.5009  ,2.47714e+00
25525  ,106.96  ,41.646  ,-68.0926  ,2.47695e+00
1699  ,106.684  ,42.2872  ,-68.1219  ,2.47686e+00
27523  ,106.53  ,42.2872  ,-69.8844  ,2.47679e+00
25119  ,107.114  ,40.8224  ,-69.9254  ,2.47643e+00
56712  ,106.609  ,42.2872  ,-68.671  ,2.47642e+00
7589  ,106.557  ,42.2872  ,-69.268  ,2.47640e+00
37275  ,106.501  ,41.808  ,-72.6702  ,2.47620e+00
5651  ,107.768  ,40.2872  ,-65.1631  ,2.47613e+00
5656  ,107.141  ,40.2872  ,-72.3267  ,2.47612e+00
16260  ,106.927  ,41.5209  ,-68.4598  ,2.47604e+00
25529  ,106.68  ,42.2872  ,-67.5952  ,2.47594e+00
11176  ,107.172  ,41.2673  ,-66.9019  ,2.47590e+00
56713  ,106.683  ,42.0609  ,-68.4595  ,2.47571e+00
72989  ,106.963  ,40.808  ,-71.4339  ,2.47564e+00
25531  ,106.953  ,41.7772  ,-66.8088  ,2.47562e+00
25104  ,106.804  ,41.516  ,-69.6516  ,2.47561e+00
25522  ,106.787  ,41.8723  ,-68.0175  ,2.47545e+00
1698  ,106.735  ,42.2872  ,-66.7158  ,2.47538e+00
86097  ,106.26  ,42.2872  ,-72.5849  ,2.47537e+00
88073  ,107.104  ,41.8882  ,-64.786  ,2.47530e+00
27525  ,106.573  ,41.8673  ,-70.3987  ,2.47515e+00
25116  ,107.031  ,41.3623  ,-67.4075  ,2.47499e+00
88082  ,106.915  ,42.2872  ,-64.8034  ,2.47495e+00
55465  ,107.43  ,41.2872  ,-63.8796  ,2.47485e+00
89166  ,106.585  ,41.2872  ,-73.5317  ,2.47483e+00
25109  ,107.366  ,40.2872  ,-68.4333  ,2.47482e+00
89825  ,107.311  ,40.2872  ,-69.0662  ,2.47481e+00
25103  ,106.6  ,41.8673  ,-69.7823  ,2.47480e+00
72899  ,106.649  ,41.9358  ,-68.8267  ,2.47477e+00
56711  ,106.51  ,42.2872  ,-68.3844  ,2.47422e+00
9095  ,106.891  ,41.4574  ,-67.9132  ,2.47406e+00
90028  ,106.446  ,42.2872  ,-68.9575  ,2.47399e+00
16258  ,107.083  ,40.7863  ,-68.563  ,2.47362e+00
11174  ,106.644  ,41.4474  ,-70.2966  ,2.47319e+00
25120  ,107.155  ,40.2872  ,-69.6691  ,2.47297e+00
25114  ,107.313  ,40.2872  ,-67.8183  ,2.47290e+00
58905  ,106.398  ,41.808  ,-71.2754  ,2.47275e+00
62583  ,106.598  ,41.8558  ,-68.444  ,2.47268e+00
81525  ,106.717  ,40.808  ,-72.1884  ,2.47221e+00
