16:23, Wednesday, February 18, 2026
Study name:Static 2
Units: N/m^2
Selected reference : N/A
Node  ,X (mm)  ,Y (mm)  ,Z (mm)  ,VON (N/m^2)
506  ,94.3616  ,36.5263  ,-98.5661  ,2.39969e+08
43068  ,93.5454  ,46.2403  ,-98.2008  ,2.39931e+08
55770  ,93.836  ,46.1779  ,-98.9695  ,2.39921e+08
48235  ,93.4918  ,46.2463  ,-98.2941  ,2.39897e+08
45343  ,94.9293  ,36.7267  ,-98.0682  ,2.39889e+08
979  ,93.4748  ,46.2463  ,-98.4885  ,2.39838e+08
62999  ,94.3437  ,36.5125  ,-98.2706  ,2.39830e+08
60187  ,94.8276  ,36.7085  ,-98.7616  ,2.39826e+08
13511  ,94.5508  ,36.6063  ,-99.041  ,2.39814e+08
51748  ,93.5992  ,46.2359  ,-97.9447  ,2.39810e+08
13512  ,94.4654  ,36.5749  ,-99.0335  ,2.39790e+08
825  ,94.1165  ,46.1246  ,-98.3487  ,2.39763e+08
66348  ,94.1336  ,46.1246  ,-98.1542  ,2.39754e+08
59825  ,94.0995  ,46.1246  ,-98.5432  ,2.39739e+08
46829  ,93.7471  ,46.2168  ,-97.6515  ,2.39725e+08
64611  ,94.6816  ,36.6127  ,-97.7404  ,2.39686e+08
60819  ,94.5957  ,36.5808  ,-97.7329  ,2.39589e+08
62888  ,93.4552  ,46.252  ,-98.1929  ,2.39566e+08
6232  ,94.0602  ,46.1497  ,-97.8403  ,2.39562e+08
6111  ,93.5088  ,46.2463  ,-98.0996  ,2.39538e+08
40756  ,94.3267  ,36.5125  ,-98.4651  ,2.39519e+08
38270  ,93.4382  ,46.252  ,-98.3874  ,2.39457e+08
680  ,94.784  ,36.6954  ,-98.9124  ,2.39376e+08
36615  ,93.4858  ,46.2432  ,-98.64  ,2.39330e+08
62967  ,94.8525  ,36.6815  ,-97.7554  ,2.39299e+08
27230  ,94.7174  ,36.6726  ,-99.0579  ,2.39266e+08
56622  ,94.4397  ,36.5318  ,-97.8697  ,2.39211e+08
30205  ,93.8373  ,46.2006  ,-97.6594  ,2.39208e+08
46173  ,94.3087  ,36.4992  ,-98.1696  ,2.39162e+08
390  ,94.9534  ,36.7315  ,-97.9146  ,2.39131e+08
46180  ,94.9106  ,36.746  ,-98.7688  ,2.39108e+08
45344  ,94.9879  ,36.7599  ,-98.229  ,2.39106e+08
74  ,94.2917  ,36.4992  ,-98.364  ,2.39104e+08
46172  ,94.3303  ,36.5016  ,-98.0158  ,2.39056e+08
60818  ,94.5091  ,36.5506  ,-97.7254  ,2.39048e+08
54205  ,94.141  ,46.1261  ,-98.0012  ,2.39041e+08
52136  ,93.9243  ,46.1582  ,-98.9786  ,2.39034e+08
65311  ,94.169  ,46.1128  ,-98.2553  ,2.39023e+08
59824  ,94.152  ,46.1128  ,-98.4498  ,2.38929e+08
829  ,93.4015  ,46.2572  ,-98.2862  ,2.38927e+08
44824  ,93.6566  ,46.2313  ,-97.6436  ,2.38915e+08
59742  ,94.9539  ,36.7599  ,-98.6179  ,2.38914e+08
62971  ,94.2747  ,36.4992  ,-98.5585  ,2.38861e+08
939  ,93.7816  ,46.1864  ,-99.1245  ,2.38842e+08
29969  ,94.0224  ,46.1617  ,-97.6847  ,2.38819e+08
78  ,94.9709  ,36.7599  ,-98.4235  ,2.38811e+08
17149  ,94.3793  ,36.5452  ,-99.026  ,2.38779e+08
13510  ,94.5659  ,36.6171  ,-99.1959  ,2.38737e+08
1064  ,93.4967  ,46.2399  ,-98.7914  ,2.38668e+08
42701  ,94.8011  ,36.7085  ,-99.0652  ,2.38638e+08
10281  ,94.1293  ,46.1128  ,-98.7125  ,2.38606e+08
55738  ,93.5492  ,46.2303  ,-98.9515  ,2.38601e+08
628  ,94.6506  ,36.6505  ,-99.2033  ,2.38583e+08
29968  ,94.1116  ,46.1404  ,-97.6925  ,2.38579e+08
36616  ,93.395  ,46.2545  ,-98.6366  ,2.38577e+08
62970  ,94.2396  ,36.4862  ,-98.4575  ,2.38574e+08
38262  ,93.4185  ,46.2572  ,-98.0917  ,2.38569e+08
23653  ,93.6918  ,46.2039  ,-99.118  ,2.38488e+08
6165  ,93.8046  ,46.2089  ,-97.5133  ,2.38474e+08
291  ,94.7504  ,36.6343  ,-97.596  ,2.38466e+08
54190  ,93.7143  ,46.2243  ,-97.5054  ,2.38425e+08
48205  ,94.2044  ,46.1007  ,-98.3564  ,2.38420e+08
10282  ,94.0692  ,46.1254  ,-98.852  ,2.38404e+08
62968  ,94.9366  ,36.718  ,-97.7628  ,2.38388e+08
30217  ,93.8947  ,46.1919  ,-97.5212  ,2.38353e+08
