
Study name: Static 2(-Default-)
Plot type: Static displacement Displacement1
16:49, Monday, February 16, 2026


X Title: Parametric Distance
Y Title: URES (mm)

Point, X, Y1 (URES (mm))
173, 0.50146     ,0.11674     ,
174, 0.50437     ,0.11665     ,
175, 0.50729     ,0.11657     ,
176, 0.5102      ,0.11648     ,
177, 0.51312     ,0.1164      ,
178, 0.51603     ,0.11633     ,
179, 0.51895     ,0.11625     ,
180, 0.52187     ,0.11618     ,
181, 0.52478     ,0.11611     ,
182, 0.5277      ,0.11604     ,
183, 0.53061     ,0.11598     ,
184, 0.53353     ,0.11591     ,
185, 0.53644     ,0.11585     ,
186, 0.53936     ,0.1158      ,
187, 0.54227     ,0.11574     ,
188, 0.54519     ,0.11569     ,
189, 0.5481      ,0.11564     ,
190, 0.55102     ,0.11559     ,
191, 0.55394     ,0.11555     ,
192, 0.55685     ,0.1155      ,
193, 0.55977     ,0.11546     ,
194, 0.56268     ,0.11542     ,
195, 0.5656      ,0.11539     ,
196, 0.56851     ,0.11535     ,
197, 0.57143     ,0.11532     ,
198, 0.57434     ,0.1153      ,
199, 0.57726     ,0.11527     ,
200, 0.58017     ,0.11525     ,
201, 0.58309     ,0.11522     ,
202, 0.58601     ,0.1152      ,
203, 0.58892     ,0.11519     ,
204, 0.59184     ,0.11517     ,
205, 0.59475     ,0.11516     ,
206, 0.59767     ,0.11515     ,
207, 0.60058     ,0.11514     ,
208, 0.6035      ,0.11514     ,
209, 0.60641     ,0.11513     ,
210, 0.60933     ,0.11513     ,
211, 0.61224     ,0.11513     ,
212, 0.61516     ,0.11513     ,
213, 0.61808     ,0.11514     ,
214, 0.62099     ,0.11515     ,
215, 0.62391     ,0.11516     ,
216, 0.62682     ,0.11517     ,
217, 0.62974     ,0.11518     ,
218, 0.63265     ,0.11519     ,
219, 0.63557     ,0.11521     ,
220, 0.63848     ,0.11523     ,
221, 0.6414      ,0.11525     ,
222, 0.64431     ,0.11528     ,
223, 0.64723     ,0.1153      ,
224, 0.65015     ,0.11533     ,
225, 0.65306     ,0.11536     ,
226, 0.65598     ,0.11539     ,
227, 0.65889     ,0.11542     ,
228, 0.66181     ,0.11546     ,
229, 0.66472     ,0.1155      ,
230, 0.66764     ,0.11554     ,
231, 0.67055     ,0.11558     ,
232, 0.67347     ,0.11562     ,
233, 0.67638     ,0.11567     ,
234, 0.6793      ,0.11572     ,
235, 0.68222     ,0.11577     ,
236, 0.68513     ,0.11582     ,
237, 0.68805     ,0.11587     ,
238, 0.69096     ,0.11593     ,
239, 0.69388     ,0.11599     ,
240, 0.69679     ,0.11605     ,
241, 0.69971     ,0.11611     ,
242, 0.70262     ,0.11618     ,
243, 0.70554     ,0.11625     ,
244, 0.70845     ,0.11632     ,
245, 0.71137     ,0.11639     ,
246, 0.71429     ,0.11646     ,
247, 0.7172      ,0.11654     ,
248, 0.72012     ,0.11662     ,
249, 0.72303     ,0.1167      ,
250, 0.72595     ,0.11679     ,
251, 0.72886     ,0.11688     ,
252, 0.73178     ,0.11697     ,
253, 0.73469     ,0.11706     ,
254, 0.73761     ,0.11715     ,
255, 0.74052     ,0.11725     ,
256, 0.74344     ,0.11735     ,
257, 0.74636     ,0.11745     ,
258, 0.74927     ,0.11756     ,
259, 0.75219     ,0.11767     ,
260, 0.7551      ,0.11778     ,
261, 0.75802     ,0.11789     ,
262, 0.76093     ,0.11801     ,
263, 0.76385     ,0.11813     ,
264, 0.76676     ,0.11825     ,
265, 0.76968     ,0.11838     ,
266, 0.77259     ,0.11851     ,
267, 0.77551     ,0.11864     ,
268, 0.77843     ,0.11877     ,
269, 0.78134     ,0.11891     ,
270, 0.78426     ,0.11905     ,
271, 0.78717     ,0.11919     ,
272, 0.79009     ,0.11933     ,
273, 0.793       ,0.11948     ,
274, 0.79592     ,0.11963     ,
275, 0.79883     ,0.11978     ,
276, 0.80175     ,0.11994     ,
277, 0.80466     ,0.1201      ,
278, 0.80758     ,0.12026     ,
279, 0.8105      ,0.12042     ,
280, 0.81341     ,0.12059     ,
281, 0.81633     ,0.12076     ,
282, 0.81924     ,0.12093     ,
283, 0.82216     ,0.1211      ,
284, 0.82507     ,0.12128     ,
285, 0.82799     ,0.12146     ,
286, 0.8309      ,0.12164     ,
287, 0.83382     ,0.12182     ,
288, 0.83673     ,0.12201     ,
289, 0.83965     ,0.12219     ,
290, 0.84257     ,0.12238     ,
291, 0.84548     ,0.12257     ,
292, 0.8484      ,0.12276     ,
293, 0.85131     ,0.12296     ,
294, 0.85423     ,0.12315     ,
295, 0.85714     ,0.12335     ,
296, 0.86006     ,0.12355     ,
297, 0.86297     ,0.12375     ,
298, 0.86589     ,0.12395     ,
299, 0.8688      ,0.12415     ,
300, 0.87172     ,0.12435     ,
301, 0.87464     ,0.12455     ,
302, 0.87755     ,0.12476     ,
303, 0.88047     ,0.12496     ,
304, 0.88338     ,0.12517     ,
305, 0.8863      ,0.12537     ,
306, 0.88921     ,0.12558     ,
307, 0.89213     ,0.12578     ,
308, 0.89504     ,0.12599     ,
309, 0.89796     ,0.12619     ,
310, 0.90087     ,0.1264      ,
311, 0.90379     ,0.1266      ,
312, 0.90671     ,0.1268      ,
313, 0.90962     ,0.12701     ,
314, 0.91254     ,0.12721     ,
315, 0.91545     ,0.12741     ,
316, 0.91837     ,0.12761     ,
317, 0.92128     ,0.12781     ,
318, 0.9242      ,0.12801     ,
319, 0.92711     ,0.12821     ,
320, 0.93003     ,0.1284      ,
321, 0.93294     ,0.1286      ,
322, 0.93586     ,0.12879     ,
323, 0.93878     ,0.12898     ,
324, 0.94169     ,0.12917     ,
325, 0.94461     ,0.12936     ,
326, 0.94752     ,0.12954     ,
327, 0.95044     ,0.12973     ,
328, 0.95335     ,0.12991     ,
329, 0.95627     ,0.13009     ,
330, 0.95918     ,0.13026     ,
331, 0.9621      ,0.13044     ,
332, 0.96501     ,0.13061     ,
333, 0.96793     ,0.13077     ,
334, 0.97085     ,0.13094     ,
335, 0.97376     ,0.1311      ,
336, 0.97668     ,0.13126     ,
337, 0.97959     ,0.13142     ,
338, 0.98251     ,0.13157     ,
339, 0.98542     ,0.13172     ,
340, 0.98834     ,0.13187     ,
341, 0.99125     ,0.13201     ,
342, 0.99417     ,0.13215     ,
343, 0.99708     ,0.13229     ,
344, 1,0.13243     ,
