
Study name: Static 2(-Default-)
Plot type: Static displacement Displacement1
16:51, Monday, February 16, 2026


X Title: Node
Y Title: URES (mm)

Point, X, Y1 (URES (mm))
238, 237,0.066992    ,
239, 238,0.057719    ,
240, 239,0.098613    ,
241, 240,0.041489    ,
242, 241,0.016097    ,
243, 242,0.10305     ,
244, 243,0.11619     ,
245, 244,0.020109    ,
246, 245,0.042774    ,
247, 246,0.042129    ,
248, 247,0.11537     ,
249, 248,0.018484    ,
250, 249,0.0051808   ,
251, 250,0.10526     ,
252, 251,0.031461    ,
253, 252,0.030428    ,
254, 253,0.067713    ,
255, 254,0.11185     ,
256, 255,0.11585     ,
257, 256,0.029927    ,
258, 257,0.083798    ,
259, 258,0.10452     ,
260, 259,0.085276    ,
261, 260,0.057016    ,
262, 261,0.095648    ,
263, 262,0.074981    ,
264, 263,0.088975    ,
265, 264,0.090457    ,
266, 265,0.068436    ,
267, 266,0.073521    ,
268, 267,0.10673     ,
269, 268,0.071336    ,
270, 269,0.045389    ,
271, 270,0.040222    ,
272, 271,0.03364     ,
273, 272,0.078644    ,
274, 273,0.069884    ,
275, 274,0.074251    ,
276, 275,0.0069306   ,
277, 276,0.0075487   ,
278, 277,0.038357    ,
279, 278,0.094906    ,
280, 279,0.031992    ,
281, 280,0.052835    ,
282, 281,0.046717    ,
283, 282,0.10893     ,
284, 283,0.084537    ,
285, 284,0.0095005   ,
286, 285,0.015319    ,
287, 286,0.025921    ,
288, 287,0.033082    ,
289, 288,0.13363     ,
290, 289,0.0057462   ,
291, 290,0.13465     ,
292, 291,0.13531     ,
293, 292,0.02093     ,
294, 293,0.0081834   ,
295, 294,0.040853    ,
296, 295,0.092681    ,
297, 296,0.034779    ,
298, 297,0.07061     ,
299, 298,0.01455     ,
300, 299,0.10009     ,
301, 300,0.097131    ,
302, 301,0.056314    ,
303, 302,0.093423    ,
304, 303,0.0088341   ,
305, 304,0.10231     ,
306, 305,0.072064    ,
307, 306,0.10379     ,
308, 307,0.047386    ,
309, 308,0.07791     ,
310, 309,0.02425     ,
311, 310,0.02843     ,
312, 311,0.064116    ,
313, 312,0.059838    ,
314, 313,0.027594    ,
315, 314,0.046051    ,
316, 315,0.034206    ,
317, 316,0.054917    ,
318, 317,0.077177    ,
319, 318,0.11474     ,
320, 319,0.088235    ,
321, 320,0.048058    ,
322, 321,0.062685    ,
323, 322,0.0026331   ,
324, 323,0.061259    ,
325, 324,0.044074    ,
326, 325,0.053527    ,
327, 326,0.035359    ,
328, 327,0.10157     ,
329, 328,0.094165    ,
330, 329,0.086015    ,
331, 330,0.03714     ,
332, 331,0.026758    ,
333, 332,0.061971    ,
334, 333,0.037746    ,
335, 334,0.064833    ,
336, 335,0.051458    ,
337, 336,0.058424    ,
338, 337,0.048732    ,
339, 338,0.022584    ,
340, 339,0.086754    ,
341, 340,0.01768     ,
342, 341,0.03094     ,
343, 342,0.04941     ,
344, 343,0.10746     ,
345, 344,0.019293    ,
346, 345,0.10083     ,
347, 346,0.0063296   ,
348, 347,0.025085    ,
349, 348,0.1133      ,
350, 349,0.0634      ,
351, 350,0.0041053   ,
352, 351,0.01231     ,
353, 352,0.066271    ,
354, 353,0.079379    ,
355, 354,0.091198    ,
356, 355,0.00054651  ,
357, 356,0.06916     ,
358, 357,0.10599     ,
359, 358,0.032533    ,
360, 359,0.099353    ,
361, 360,0.13407     ,
362, 361,0.0046337   ,
