16:24, Wednesday, February 18, 2026
Study name:Static 2
Units: mm
Selected reference : N/A
Node  ,X (mm)  ,Y (mm)  ,Z (mm)  ,URES (mm)
30676  ,102.576  ,38.903  ,-98.5708  ,1.31566e-01
1568  ,102.153  ,41.2699  ,-98.048  ,1.31559e-01
20153  ,102.067  ,41.8499  ,-98.2964  ,1.31556e-01
10663  ,101.891  ,43.5882  ,-100.033  ,1.31550e-01
10821  ,102.027  ,43.605  ,-98.5098  ,1.31546e-01
4924  ,102.022  ,42.8348  ,-98.0366  ,1.31539e-01
44699  ,101.959  ,43.7053  ,-99.0128  ,1.31512e-01
65290  ,102.112  ,44.8783  ,-99.5305  ,1.31512e-01
20152  ,102.009  ,42.0832  ,-98.0354  ,1.31491e-01
31168  ,102.015  ,43.832  ,-98.036  ,1.31485e-01
4538  ,102.212  ,44.9529  ,-98.0532  ,1.31483e-01
15992  ,101.942  ,41.9692  ,-98.8687  ,1.31474e-01
35884  ,102.457  ,38.7748  ,-99.5642  ,1.31461e-01
11010  ,101.934  ,42.6048  ,-98.2449  ,1.31456e-01
20078  ,102.028  ,41.0683  ,-99.0098  ,1.31455e-01
10668  ,101.854  ,43.3369  ,-99.0082  ,1.31434e-01
20137  ,102.086  ,40.9214  ,-98.3916  ,1.31433e-01
15957  ,101.938  ,41.5775  ,-98.9083  ,1.31423e-01
23521  ,102.095  ,40.0556  ,-100.051  ,1.31418e-01
20135  ,101.996  ,41.4306  ,-98.2902  ,1.31410e-01
44698  ,101.832  ,44.0376  ,-99.5327  ,1.31409e-01
23495  ,102.237  ,39.9867  ,-98.5395  ,1.31404e-01
15978  ,101.816  ,41.8129  ,-99.6455  ,1.31392e-01
66620  ,102.559  ,38.6719  ,-98.0835  ,1.31379e-01
37916  ,102.047  ,45.1556  ,-99.0018  ,1.31373e-01
11007  ,101.872  ,42.4464  ,-98.0234  ,1.31364e-01
6537  ,101.846  ,42.3747  ,-98.4531  ,1.31364e-01
56233  ,101.74  ,44.1255  ,-100.02  ,1.31363e-01
2514  ,101.94  ,45.1945  ,-100.037  ,1.31360e-01
42304  ,101.938  ,41.664  ,-98.0292  ,1.31355e-01
10666  ,101.727  ,43.6692  ,-99.5281  ,1.31342e-01
23498  ,102.259  ,39.5018  ,-99.087  ,1.31341e-01
31172  ,101.859  ,44.2113  ,-98.5045  ,1.31337e-01
15990  ,101.842  ,41.983  ,-98.4927  ,1.31325e-01
15979  ,101.83  ,41.2547  ,-99.6467  ,1.31315e-01
37902  ,101.791  ,44.3116  ,-99.0075  ,1.31304e-01
8371  ,102.019  ,40.573  ,-98.7353  ,1.31290e-01
20138  ,101.929  ,41.0822  ,-98.6338  ,1.31288e-01
37915  ,102.005  ,45.3489  ,-98.516  ,1.31277e-01
30628  ,102.107  ,39.796  ,-99.5319  ,1.31273e-01
30657  ,102.238  ,39.7561  ,-98.0555  ,1.31271e-01
7710  ,101.838  ,41.5914  ,-98.5323  ,1.31267e-01
11008  ,101.784  ,42.2164  ,-98.2317  ,1.31263e-01
31169  ,101.828  ,44.4087  ,-98.0196  ,1.31261e-01
37898  ,101.699  ,44.3995  ,-99.4944  ,1.31255e-01
10820  ,101.733  ,43.3497  ,-98.0113  ,1.31241e-01
15956  ,101.712  ,41.9655  ,-99.1986  ,1.31240e-01
5922  ,102.431  ,38.5139  ,-99.0438  ,1.31226e-01
33798  ,101.865  ,45.4678  ,-99.5075  ,1.31216e-01
20142  ,101.78  ,41.8247  ,-98.2713  ,1.31212e-01
2620  ,101.594  ,42.0622  ,-100.007  ,1.31210e-01
11006  ,101.709  ,42.7704  ,-98.0092  ,1.31207e-01
30658  ,102.26  ,39.2712  ,-98.603  ,1.31189e-01
23500  ,101.961  ,40.743  ,-98.0312  ,1.31188e-01
37899  ,101.742  ,44.8332  ,-98.8135  ,1.31187e-01
34528  ,101.959  ,45.5415  ,-98.0311  ,1.31186e-01
31963  ,101.511  ,42.6143  ,-99.9995  ,1.31170e-01
23504  ,101.835  ,41.319  ,-98.0202  ,1.31165e-01
1230  ,101.722  ,42.0581  ,-98.0103  ,1.31157e-01
45331  ,102.316  ,38.4303  ,-100.07  ,1.31153e-01
20077  ,101.82  ,40.7593  ,-99.3722  ,1.31148e-01
15991  ,101.616  ,42.3709  ,-98.783  ,1.31139e-01
15977  ,101.608  ,41.5039  ,-100.008  ,1.31136e-01
33797  ,101.532  ,44.7177  ,-100.001  ,1.31126e-01
11009  ,101.621  ,42.5403  ,-98.2175  ,1.31113e-01
2789  ,101.428  ,43.1664  ,-99.9922  ,1.31109e-01
34530  ,101.711  ,45.0306  ,-98.3285  ,1.31109e-01
10823  ,101.561  ,43.0816  ,-98.5097  ,1.31103e-01
30613  ,102.145  ,39.142  ,-99.5967  ,1.31091e-01
15953  ,101.612  ,41.9793  ,-98.8226  ,1.31089e-01
5920  ,101.781  ,45.7374  ,-98.9772  ,1.31078e-01
66621  ,101.677  ,45.7648  ,-100.014  ,1.31071e-01
30489  ,101.49  ,42.2147  ,-99.5598  ,1.31059e-01
30610  ,101.993  ,39.4362  ,-100.042  ,1.31037e-01
53574  ,101.678  ,41.4797  ,-98.2624  ,1.31026e-01
23505  ,101.768  ,40.9705  ,-98.3638  ,1.31025e-01
23493  ,101.894  ,40.3945  ,-98.3749  ,1.31024e-01
31964  ,101.407  ,42.7668  ,-99.5526  ,1.31023e-01
2621  ,101.621  ,40.9457  ,-100.009  ,1.31021e-01
31961  ,101.472  ,42.8516  ,-98.718  ,1.31019e-01
11005  ,101.559  ,42.382  ,-97.9961  ,1.31014e-01
62155  ,102.404  ,38.2853  ,-98.5557  ,1.31004e-01
34529  ,101.587  ,45.0104  ,-97.9985  ,1.31003e-01
33800  ,101.453  ,44.9892  ,-99.4715  ,1.30994e-01
22645  ,101.727  ,45.9261  ,-98.4916  ,1.30985e-01
53573  ,101.62  ,41.7131  ,-98.0014  ,1.30982e-01
42518  ,101.276  ,43.7036  ,-99.9789  ,1.30965e-01
15958  ,101.592  ,41.2879  ,-99.1637  ,1.30965e-01
4946  ,101.444  ,43.8646  ,-97.986  ,1.30959e-01
20149  ,101.48  ,42.2743  ,-98.4833  ,1.30951e-01
23497  ,101.917  ,39.9097  ,-98.9224  ,1.30946e-01
20140  ,101.497  ,42.1912  ,-98.2067  ,1.30937e-01
65097  ,101.42  ,43.2853  ,-97.9839  ,1.30932e-01
45888  ,101.585  ,46.03  ,-99.483  ,1.30932e-01
56235  ,101.376  ,43.9649  ,-98.489  ,1.30929e-01
22647  ,101.495  ,45.4229  ,-98.7906  ,1.30928e-01
7709  ,101.386  ,42.3672  ,-99.1129  ,1.30917e-01
33795  ,101.315  ,45.2317  ,-99.9823  ,1.30904e-01
9768  ,101.309  ,44.0652  ,-98.9921  ,1.30903e-01
10667  ,101.263  ,43.2474  ,-99.4875  ,1.30899e-01
4537  ,101.669  ,46.1127  ,-98.0057  ,1.30898e-01
23523  ,101.764  ,40.2038  ,-99.3673  ,1.30891e-01
20118  ,101.476  ,41.8826  ,-98.5228  ,1.30889e-01
30974  ,102.281  ,38.172  ,-99.5488  ,1.30884e-01
4965  ,101.396  ,42.706  ,-97.9818  ,1.30872e-01
20114  ,101.494  ,41.7996  ,-98.2462  ,1.30869e-01
30620  ,102.122  ,38.8801  ,-99.0767  ,1.30861e-01
37901  ,101.217  ,44.1531  ,-99.4789  ,1.30859e-01
37914  ,101.327  ,44.4865  ,-98.295  ,1.30855e-01
22646  ,101.439  ,45.6105  ,-98.3048  ,1.30842e-01
10824  ,101.271  ,43.5965  ,-98.4844  ,1.30834e-01
37903  ,101.259  ,44.5868  ,-98.798  ,1.30827e-01
20141  ,101.436  ,42.0329  ,-97.9852  ,1.30825e-01
2788  ,101.125  ,44.2409  ,-99.9657  ,1.30819e-01
56234  ,101.204  ,43.6968  ,-98.9874  ,1.30811e-01
31960  ,101.242  ,42.8478  ,-99.0479  ,1.30811e-01
15954  ,101.492  ,41.3017  ,-98.7877  ,1.30803e-01
64402  ,101.484  ,46.2928  ,-98.9513  ,1.30800e-01
30655  ,102.101  ,39.1285  ,-98.0434  ,1.30798e-01
2513  ,101.379  ,46.3174  ,-99.988  ,1.30795e-01
15975  ,101.37  ,41.5371  ,-99.5249  ,1.30794e-01
20079  ,101.582  ,40.7925  ,-98.8892  ,1.30783e-01
37900  ,101.167  ,44.6747  ,-99.2848  ,1.30783e-01
22030  ,101.247  ,43.0172  ,-98.4823  ,1.30783e-01
33799  ,101.236  ,45.5032  ,-99.4525  ,1.30782e-01
1585  ,101.518  ,41.3681  ,-97.9924  ,1.30780e-01
23503  ,101.644  ,40.7921  ,-98.0035  ,1.30776e-01
42519  ,101.112  ,43.7847  ,-99.4743  ,1.30769e-01
23520  ,101.565  ,40.3902  ,-100.004  ,1.30768e-01
1214  ,102.372  ,38.0585  ,-98.0672  ,1.30765e-01
42183  ,101.188  ,42.3787  ,-99.6472  ,1.30759e-01
1575  ,101.77  ,40.2161  ,-98.0145  ,1.30748e-01
22660  ,101.316  ,45.5903  ,-97.9748  ,1.30747e-01
8705  ,101.209  ,45.1084  ,-98.6039  ,1.30744e-01
47467  ,101.105  ,42.9308  ,-99.64  ,1.30736e-01
56230  ,101.204  ,44.4662  ,-97.9649  ,1.30733e-01
20150  ,101.25  ,42.2705  ,-98.8131  ,1.30726e-01
64401  ,101.419  ,46.475  ,-98.4647  ,1.30713e-01
21811  ,101.255  ,42.4399  ,-98.2476  ,1.30710e-01
22644  ,101.252  ,45.9809  ,-98.9393  ,1.30710e-01
6450  ,101.099  ,43.3285  ,-98.9828  ,1.30698e-01
21809  ,101.273  ,42.3569  ,-97.971  ,1.30696e-01
45907  ,101.27  ,46.5752  ,-99.4555  ,1.30664e-01
15976  ,101.384  ,40.9789  ,-99.5261  ,1.30658e-01
45887  ,101.035  ,45.7932  ,-99.9578  ,1.30656e-01
15955  ,101.266  ,41.6896  ,-99.078  ,1.30656e-01
23496  ,101.792  ,39.7312  ,-98.562  ,1.30643e-01
45281  ,101.333  ,41.6879  ,-97.9763  ,1.30636e-01
22662  ,101.086  ,45.0881  ,-98.2739  ,1.30635e-01
31962  ,101.106  ,42.7512  ,-98.7481  ,1.30635e-01
22643  ,101.196  ,46.1686  ,-98.4536  ,1.30631e-01
64398  ,101.343  ,46.6641  ,-97.9772  ,1.30631e-01
33796  ,100.908  ,44.755  ,-99.9467  ,1.30624e-01
42185  ,101.084  ,42.5312  ,-99.2003  ,1.30623e-01
30973  ,102.241  ,37.9315  ,-99.0545  ,1.30613e-01
20115  ,101.313  ,41.5185  ,-98.4562  ,1.30609e-01
42181  ,101.152  ,41.8525  ,-99.5186  ,1.30609e-01
47930  ,101.07  ,43.5414  ,-97.9533  ,1.30606e-01
22640  ,100.95  ,45.1887  ,-99.2658  ,1.30592e-01
30612  ,101.867  ,38.8921  ,-100.031  ,1.30588e-01
56231  ,100.994  ,44.2058  ,-98.4231  ,1.30588e-01
22653  ,101.051  ,46.2709  ,-99.4447  ,1.30586e-01
47466  ,101.008  ,42.2559  ,-99.9555  ,1.30579e-01
47465  ,100.925  ,42.808  ,-99.9482  ,1.30571e-01
37912  ,100.926  ,44.3061  ,-98.9262  ,1.30567e-01
47933  ,100.973  ,43.8428  ,-98.3787  ,1.30559e-01
21808  ,101.112  ,42.5959  ,-97.957  ,1.30559e-01
22641  ,100.966  ,45.6664  ,-98.7527  ,1.30546e-01
5919  ,101.153  ,46.8283  ,-98.9224  ,1.30546e-01
56245  ,101.332  ,41.1901  ,-98.5178  ,1.30545e-01
22652  ,101.048  ,46.8501  ,-99.9589  ,1.30543e-01
56236  ,100.905  ,43.9431  ,-98.8817  ,1.30539e-01
22027  ,101.046  ,42.9621  ,-97.9512  ,1.30537e-01
8377  ,101.114  ,42.1738  ,-98.5134  ,1.30533e-01
44701  ,100.94  ,43.0119  ,-99.1353  ,1.30530e-01
8801  ,101.814  ,39.2464  ,-99.1096  ,1.30529e-01
37911  ,100.834  ,44.394  ,-99.413  ,1.30527e-01
37910  ,101.042  ,46.0909  ,-97.9508  ,1.30527e-01
4964  ,100.963  ,45.0679  ,-97.9439  ,1.30525e-01
56247  ,101.048  ,41.7695  ,-99.959  ,1.30524e-01
42517  ,100.824  ,43.2856  ,-99.9394  ,1.30518e-01
19086  ,101.458  ,40.614  ,-98.5288  ,1.30516e-01
20117  ,101.132  ,42.0908  ,-98.2368  ,1.30513e-01
37913  ,100.876  ,44.8277  ,-98.7321  ,1.30511e-01
2520  ,102.119  ,37.8342  ,-100.053  ,1.30503e-01
47771  ,100.813  ,44.031  ,-99.3685  ,1.30499e-01
1229  ,101.149  ,42.0078  ,-97.9602  ,1.30494e-01
30614  ,101.662  ,39.5405  ,-99.5544  ,1.30492e-01
