
Study name: Static 2(-Default-)
Plot type: Static nodal stress Stress1
16:52, Monday, February 16, 2026


X Title: Parametric Distance
Y Title: von Mises (N/m^2)

Point, X, Y1 (von Mises (N/m^2))
149, 0.43149     ,6.1298E+07  ,
150, 0.4344      ,6.3581E+07  ,
151, 0.43732     ,6.5813E+07  ,
152, 0.44023     ,6.8012E+07  ,
153, 0.44315     ,7.0037E+07  ,
154, 0.44606     ,7.1968E+07  ,
155, 0.44898     ,7.3954E+07  ,
156, 0.4519      ,7.5722E+07  ,
157, 0.45481     ,7.738E+07   ,
158, 0.45773     ,7.8847E+07  ,
159, 0.46064     ,8.0263E+07  ,
160, 0.46356     ,8.1858E+07  ,
161, 0.46647     ,8.3327E+07  ,
162, 0.46939     ,8.4449E+07  ,
163, 0.4723      ,8.5557E+07  ,
164, 0.47522     ,8.6701E+07  ,
165, 0.47813     ,8.7788E+07  ,
166, 0.48105     ,8.8684E+07  ,
167, 0.48396     ,8.9515E+07  ,
168, 0.48688     ,9.0238E+07  ,
169, 0.4898      ,9.087E+07   ,
170, 0.49271     ,9.1468E+07  ,
171, 0.49563     ,9.2098E+07  ,
172, 0.49854     ,9.2653E+07  ,
173, 0.50146     ,9.2955E+07  ,
174, 0.50437     ,9.33E+07    ,
175, 0.50729     ,9.3589E+07  ,
176, 0.5102      ,9.3758E+07  ,
177, 0.51312     ,9.3901E+07  ,
178, 0.51603     ,9.3848E+07  ,
179, 0.51895     ,9.3629E+07  ,
180, 0.52187     ,9.3629E+07  ,
181, 0.52478     ,9.3505E+07  ,
182, 0.5277      ,9.3194E+07  ,
183, 0.53061     ,9.286E+07   ,
184, 0.53353     ,9.2412E+07  ,
185, 0.53644     ,9.1904E+07  ,
186, 0.53936     ,9.1292E+07  ,
187, 0.54227     ,9.0692E+07  ,
188, 0.54519     ,8.9965E+07  ,
189, 0.5481      ,8.9019E+07  ,
190, 0.55102     ,8.8087E+07  ,
191, 0.55394     ,8.7189E+07  ,
192, 0.55685     ,8.6327E+07  ,
193, 0.55977     ,8.4976E+07  ,
194, 0.56268     ,8.371E+07   ,
195, 0.5656      ,8.2551E+07  ,
196, 0.56851     ,8.1268E+07  ,
197, 0.57143     ,7.9688E+07  ,
198, 0.57434     ,7.8203E+07  ,
199, 0.57726     ,7.6625E+07  ,
200, 0.58017     ,7.4878E+07  ,
201, 0.58309     ,7.3114E+07  ,
202, 0.58601     ,7.1184E+07  ,
203, 0.58892     ,6.9089E+07  ,
204, 0.59184     ,6.703E+07   ,
205, 0.59475     ,6.497E+07   ,
206, 0.59767     ,6.2652E+07  ,
207, 0.60058     ,6.0301E+07  ,
208, 0.6035      ,5.7778E+07  ,
209, 0.60641     ,5.5089E+07  ,
210, 0.60933     ,5.2419E+07  ,
211, 0.61224     ,4.9638E+07  ,
212, 0.61516     ,4.673E+07   ,
213, 0.61808     ,4.3863E+07  ,
214, 0.62099     ,4.0713E+07  ,
215, 0.62391     ,3.7535E+07  ,
216, 0.62682     ,3.4123E+07  ,
217, 0.62974     ,3.062E+07   ,
218, 0.63265     ,2.7014E+07  ,
219, 0.63557     ,2.3152E+07  ,
220, 0.63848     ,1.9429E+07  ,
221, 0.6414      ,1.5581E+07  ,
222, 0.64431     ,1.1599E+07  ,
223, 0.64723     ,7.1095E+06  ,
224, 0.65015     ,2.875E+06   ,
225, 0.65306     ,1.579E+06   ,
226, 0.65598     ,5.8507E+06  ,
227, 0.65889     ,1.0525E+07  ,
228, 0.66181     ,1.5293E+07  ,
229, 0.66472     ,2.0121E+07  ,
230, 0.66764     ,2.5141E+07  ,
231, 0.67055     ,3.0421E+07  ,
232, 0.67347     ,3.5509E+07  ,
233, 0.67638     ,4.0674E+07  ,
