
Study name: Static 2(-Default-)
Plot type: Static nodal stress Stress1
16:48, Monday, February 16, 2026


X Title: Node
Y Title: von Mises (N/m^2)

Point, X, Y1 (von Mises (N/m^2))
195, 194,9.951E+07   ,
196, 195,7.3672E+07  ,
197, 196,6.1286E+07  ,
198, 197,2.9002E+07  ,
199, 198,2.3846E+07  ,
200, 199,2.8866E+07  ,
201, 200,3.2557E+07  ,
202, 201,1.161E+08   ,
203, 202,3.1895E+07  ,
204, 203,2.9089E+07  ,
205, 204,2.8766E+07  ,
206, 205,1.4495E+07  ,
207, 206,2.8924E+07  ,
208, 207,2.8966E+07  ,
209, 208,2.8654E+07  ,
210, 209,7.7632E+07  ,
211, 210,2.9117E+07  ,
212, 211,2.8657E+07  ,
213, 212,2.8885E+07  ,
214, 213,2.9626E+07  ,
215, 214,2.9944E+07  ,
216, 215,1.3307E+08  ,
217, 216,2.664E+07   ,
218, 217,6.2303E+07  ,
219, 218,6.2693E+07  ,
220, 219,2.8563E+07  ,
221, 220,5.5049E+07  ,
222, 221,2.8697E+07  ,
223, 222,8.237E+07   ,
224, 223,2.9007E+07  ,
225, 224,6.1975E+07  ,
226, 225,6.0951E+07  ,
227, 226,2.9135E+07  ,
228, 227,2.8839E+07  ,
229, 228,4.4175E+07  ,
230, 229,8.9515E+07  ,
231, 230,4.8081E+06  ,
232, 231,5.3008E+07  ,
233, 232,7.324E+07   ,
234, 233,4.647E+06   ,
235, 234,5.9305E+07  ,
236, 235,6.4961E+07  ,
237, 236,2.2549E+07  ,
238, 237,2.9101E+07  ,
239, 238,2.8939E+07  ,
240, 239,2.1826E+07  ,
241, 240,2.897E+07   ,
242, 241,5.9775E+07  ,
243, 242,1.6325E+07  ,
244, 243,8.4927E+07  ,
245, 244,5.6768E+07  ,
246, 245,2.8739E+07  ,
247, 246,2.8843E+07  ,
248, 247,5.5225E+07  ,
249, 248,5.8189E+07  ,
250, 249,6.8064E+07  ,
251, 250,1.2809E+07  ,
252, 251,3.9946E+07  ,
253, 252,4.2008E+07  ,
254, 253,2.9103E+07  ,
255, 254,9.9104E+06  ,
256, 255,7.0524E+07  ,
257, 256,4.3001E+07  ,
258, 257,2.8724E+07  ,
259, 258,1.4048E+07  ,
260, 259,2.8544E+07  ,
261, 260,2.8917E+07  ,
262, 261,2.4427E+07  ,
263, 262,2.9123E+07  ,
264, 263,2.7737E+07  ,
265, 264,2.7244E+07  ,
266, 265,2.9103E+07  ,
267, 266,2.9125E+07  ,
268, 267,1.0105E+07  ,
269, 268,2.9125E+07  ,
270, 269,2.8549E+07  ,
271, 270,2.9357E+07  ,
272, 271,3.5887E+07  ,
273, 272,2.9056E+07  ,
274, 273,2.9118E+07  ,
275, 274,2.9125E+07  ,
276, 275,6.5369E+07  ,
277, 276,6.4711E+07  ,
278, 277,3.0334E+07  ,
279, 278,2.4959E+07  ,
280, 279,3.8907E+07  ,
281, 280,2.8799E+07  ,
282, 281,2.8547E+07  ,
283, 282,5.6672E+06  ,
284, 283,2.8639E+07  ,
285, 284,6.3107E+07  ,
286, 285,6.0212E+07  ,
287, 286,4.9435E+07  ,
288, 287,3.6857E+07  ,
289, 288,1.0139E+08  ,
290, 289,6.7038E+07  ,
291, 290,6.3604E+07  ,
292, 291,6.0771E+07  ,
293, 292,5.5952E+07  ,
294, 293,6.4105E+07  ,
295, 294,2.9145E+07  ,
296, 295,2.6283E+07  ,
297, 296,3.4106E+07  ,
298, 297,2.9118E+07  ,
299, 298,6.06E+07    ,
300, 299,2.0199E+07  ,
301, 300,2.3229E+07  ,
302, 301,2.8902E+07  ,
303, 302,2.5872E+07  ,
304, 303,6.3581E+07  ,
305, 304,1.7372E+07  ,
306, 305,2.9127E+07  ,
307, 306,1.5211E+07  ,
308, 307,2.8555E+07  ,
309, 308,2.9076E+07  ,
310, 309,5.1866E+07  ,
311, 310,4.5509E+07  ,
312, 311,2.9071E+07  ,
313, 312,2.8987E+07  ,
314, 313,4.6846E+07  ,
315, 314,2.8546E+07  ,
316, 315,3.4966E+07  ,
317, 316,2.8865E+07  ,
318, 317,2.9093E+07  ,
319, 318,4.0649E+07  ,
320, 319,2.7941E+07  ,
321, 320,2.8583E+07  ,
322, 321,2.9042E+07  ,
323, 322,7.5541E+07  ,
324, 323,2.9018E+07  ,
325, 324,2.8601E+07  ,
326, 325,2.8825E+07  ,
327, 326,3.3293E+07  ,
328, 327,1.8375E+07  ,
329, 328,2.5444E+07  ,
330, 329,2.8426E+07  ,
331, 330,3.1301E+07  ,
332, 331,4.8152E+07  ,
333, 332,2.9024E+07  ,
334, 333,3.0783E+07  ,
335, 334,2.9069E+07  ,
336, 335,2.8731E+07  ,
337, 336,2.8948E+07  ,
338, 337,2.8597E+07  ,
339, 338,5.4065E+07  ,
340, 339,2.8283E+07  ,
341, 340,5.8795E+07  ,
342, 341,4.0967E+07  ,
343, 342,2.8634E+07  ,
344, 343,8.6373E+06  ,
345, 344,5.7513E+07  ,
346, 345,1.933E+07   ,
347, 346,6.6174E+07  ,
348, 347,5.0688E+07  ,
