18:49, Sunday, February 15, 2026
Study name:Static 1
Units: mm
Selected reference : N/A
Node  ,X (mm)  ,Y (mm)  ,Z (mm)  ,URES (mm)
9  ,107.981  ,42.2872  ,-68.7909  ,2.49442e+00
50119  ,107.946  ,42.2872  ,-69.135  ,2.49434e+00
41446  ,108.007  ,42.2872  ,-68.4393  ,2.49433e+00
7332  ,107.901  ,42.2872  ,-69.478  ,2.49408e+00
1089  ,108.022  ,42.2872  ,-68.087  ,2.49407e+00
55411  ,107.822  ,42.2872  ,-69.9608  ,2.49344e+00
29290  ,108.028  ,42.2872  ,-67.5994  ,2.49342e+00
7333  ,107.725  ,42.2872  ,-70.4402  ,2.49246e+00
41449  ,107.995  ,42.008  ,-68.6093  ,2.49244e+00
1088  ,108.014  ,42.2872  ,-67.1119  ,2.49244e+00
50120  ,107.965  ,42.006  ,-68.9575  ,2.49243e+00
41450  ,108.016  ,42.008  ,-68.2573  ,2.49226e+00
45515  ,107.926  ,42.006  ,-69.3011  ,2.49226e+00
45518  ,107.866  ,41.8224  ,-69.7086  ,2.49056e+00
25538  ,107.982  ,41.7269  ,-68.7761  ,2.49050e+00
72992  ,107.554  ,42.2872  ,-71.111  ,2.49050e+00
90947  ,107.963  ,42.2872  ,-66.4267  ,2.49049e+00
29293  ,108.027  ,41.8092  ,-67.8589  ,2.49046e+00
8568  ,108.007  ,41.7289  ,-68.4275  ,2.49042e+00
8571  ,107.947  ,41.7248  ,-69.1239  ,2.49041e+00
45510  ,107.778  ,41.8224  ,-70.1898  ,2.48975e+00
29291  ,108.024  ,41.8092  ,-67.3712  ,2.48965e+00
41448  ,107.707  ,42.2872  ,-68.7669  ,2.48954e+00
50118  ,107.667  ,42.2872  ,-69.1105  ,2.48937e+00
41447  ,107.727  ,42.2872  ,-68.415  ,2.48937e+00
45519  ,107.894  ,41.5412  ,-69.5322  ,2.48881e+00
29298  ,108.024  ,41.53  ,-68.0293  ,2.48872e+00
29296  ,107.996  ,41.4112  ,-68.6065  ,2.48828e+00
30163  ,107.965  ,41.4091  ,-68.9547  ,2.48827e+00
80438  ,107.99  ,41.7929  ,-66.7171  ,2.48793e+00
1087  ,107.874  ,42.2872  ,-65.7453  ,2.48788e+00
7334  ,107.347  ,42.2872  ,-71.7714  ,2.48787e+00
25539  ,107.72  ,42.008  ,-68.5852  ,2.48753e+00
25537  ,107.69  ,42.006  ,-68.9334  ,2.48753e+00
45517  ,107.528  ,42.2872  ,-69.4803  ,2.48750e+00
8573  ,107.827  ,41.3577  ,-69.9384  ,2.48699e+00
8574  ,108.028  ,41.3312  ,-67.6307  ,2.48680e+00
25133  ,107.917  ,41.2256  ,-69.3636  ,2.48679e+00
29297  ,108.018  ,41.2123  ,-68.2085  ,2.48669e+00
55410  ,107.44  ,42.2872  ,-69.9614  ,2.48668e+00
29289  ,107.609  ,42.2872  ,-67.9177  ,2.48652e+00
8570  ,107.981  ,41.0935  ,-68.7852  ,2.48611e+00
29288  ,107.605  ,42.2872  ,-67.4302  ,2.48570e+00
45516  ,107.551  ,42.006  ,-69.3032  ,2.48565e+00
88109  ,107.917  ,41.7929  ,-66.0338  ,2.48559e+00
25544  ,108.007  ,41.3149  ,-66.9759  ,2.48531e+00
45511  ,107.681  ,41.2872  ,-70.6293  ,2.48499e+00
29294  ,107.602  ,42.008  ,-68.088  ,2.48468e+00
1090  ,107.432  ,42.2872  ,-68.7429  ,2.48467e+00
29299  ,107.73  ,41.5071  ,-68.4236  ,2.48397e+00
30162  ,107.7  ,41.5051  ,-68.7717  ,2.48396e+00
45520  ,107.491  ,41.8224  ,-69.7105  ,2.48392e+00
88094  ,107.719  ,42.2872  ,-64.9359  ,2.48390e+00
89169  ,107.053  ,42.2872  ,-72.5414  ,2.48389e+00
25118  ,107.87  ,40.8224  ,-69.6826  ,2.48368e+00
14918  ,108.027  ,40.8092  ,-67.8955  ,2.48359e+00
74321  ,108.005  ,40.6903  ,-68.4729  ,2.48327e+00
25132  ,107.949  ,40.6903  ,-69.106  ,2.48327e+00
8575  ,107.952  ,41.2986  ,-66.3232  ,2.48322e+00
29292  ,107.612  ,41.8092  ,-67.6896  ,2.48286e+00
