
Study name: Static 1(-Default-)
Plot type: Static nodal stress Stress1
18:50, Sunday, February 15, 2026


X Title: Parametric Distance
Y Title: von Mises (N/m^2)

Point, X, Y1 (von Mises (N/m^2))
1, 0,2.876E+07   ,
2, 0.0029498   ,2.7442E+07  ,
3, 0.0058997   ,2.6252E+07  ,
4, 0.0088495   ,2.5175E+07  ,
5, 0.011799    ,2.4046E+07  ,
6, 0.014749    ,2.2995E+07  ,
7, 0.017699    ,2.1951E+07  ,
8, 0.020649    ,2.1054E+07  ,
9, 0.023599    ,2.0177E+07  ,
10, 0.026549    ,1.9342E+07  ,
11, 0.029498    ,1.8484E+07  ,
12, 0.032448    ,1.7696E+07  ,
13, 0.035398    ,1.6943E+07  ,
14, 0.038348    ,1.6224E+07  ,
15, 0.041298    ,1.5505E+07  ,
16, 0.044248    ,1.4767E+07  ,
17, 0.047198    ,1.4061E+07  ,
18, 0.050147    ,1.3364E+07  ,
19, 0.053097    ,1.2695E+07  ,
20, 0.056047    ,1.2035E+07  ,
21, 0.058997    ,1.1369E+07  ,
22, 0.061947    ,1.0729E+07  ,
23, 0.064897    ,1.0109E+07  ,
24, 0.067846    ,9.4828E+06  ,
25, 0.070796    ,8.853E+06   ,
26, 0.073746    ,8.2384E+06  ,
27, 0.076696    ,7.6198E+06  ,
28, 0.079646    ,7.0271E+06  ,
29, 0.082596    ,6.4663E+06  ,
30, 0.085546    ,5.9079E+06  ,
31, 0.088496    ,5.3084E+06  ,
32, 0.091445    ,4.7376E+06  ,
33, 0.094395    ,4.1747E+06  ,
34, 0.097345    ,3.6153E+06  ,
35, 0.10029     ,3.07E+06    ,
36, 0.10324     ,2.539E+06   ,
37, 0.10619     ,2.0223E+06  ,
38, 0.10914     ,1.4779E+06  ,
39, 0.11209     ,9.3621E+05  ,
40, 0.11504     ,4.3372E+05  ,
41, 0.11799     ,75785,
42, 0.12094     ,5.4374E+05  ,
43, 0.12389     ,1.0268E+06  ,
44, 0.12684     ,1.5394E+06  ,
45, 0.12979     ,2.0246E+06  ,
46, 0.13274     ,2.475E+06   ,
47, 0.13569     ,2.9314E+06  ,
48, 0.13864     ,3.3849E+06  ,
49, 0.14159     ,3.8209E+06  ,
50, 0.14454     ,4.2604E+06  ,
51, 0.14749     ,4.6721E+06  ,
52, 0.15044     ,5.1076E+06  ,
53, 0.15339     ,5.5269E+06  ,
54, 0.15634     ,5.9167E+06  ,
55, 0.15929     ,6.3027E+06  ,
56, 0.16224     ,6.6888E+06  ,
57, 0.16519     ,7.0521E+06  ,
58, 0.16814     ,7.4132E+06  ,
59, 0.17109     ,7.7783E+06  ,
60, 0.17404     ,8.1238E+06  ,
61, 0.17699     ,8.4638E+06  ,
62, 0.17994     ,8.7749E+06  ,
63, 0.18289     ,9.0848E+06  ,
64, 0.18584     ,9.3856E+06  ,
65, 0.18879     ,9.6828E+06  ,
66, 0.19174     ,9.9693E+06  ,
67, 0.19469     ,1.0247E+07  ,
68, 0.19764     ,1.0505E+07  ,
69, 0.20059     ,1.0751E+07  ,
70, 0.20354     ,1.0995E+07  ,
71, 0.20649     ,1.1232E+07  ,
72, 0.20944     ,1.1444E+07  ,
