
Study name: Static 1(-Default-)
Plot type: Static displacement Displacement1
18:51, Sunday, February 15, 2026


X Title: Parametric Distance
Y Title: URES (mm)

Point, X, Y1 (URES (mm))
1, 0,2.2597      ,
2, 0.0029498   ,2.2613      ,
3, 0.0058997   ,2.2629      ,
4, 0.0088495   ,2.2645      ,
5, 0.011799    ,2.2661      ,
6, 0.014749    ,2.2677      ,
7, 0.017699    ,2.2694      ,
8, 0.020649    ,2.271       ,
9, 0.023599    ,2.2726      ,
10, 0.026549    ,2.2742      ,
11, 0.029498    ,2.2758      ,
12, 0.032448    ,2.2774      ,
13, 0.035398    ,2.279       ,
14, 0.038348    ,2.2806      ,
15, 0.041298    ,2.2821      ,
16, 0.044248    ,2.2837      ,
17, 0.047198    ,2.2853      ,
18, 0.050147    ,2.2869      ,
19, 0.053097    ,2.2884      ,
20, 0.056047    ,2.29        ,
21, 0.058997    ,2.2916      ,
22, 0.061947    ,2.2931      ,
23, 0.064897    ,2.2946      ,
24, 0.067846    ,2.2962      ,
25, 0.070796    ,2.2977      ,
26, 0.073746    ,2.2992      ,
27, 0.076696    ,2.3007      ,
28, 0.079646    ,2.3022      ,
29, 0.082596    ,2.3036      ,
30, 0.085546    ,2.3051      ,
31, 0.088496    ,2.3065      ,
32, 0.091445    ,2.308       ,
33, 0.094395    ,2.3094      ,
34, 0.097345    ,2.3108      ,
35, 0.10029     ,2.3122      ,
36, 0.10324     ,2.3136      ,
37, 0.10619     ,2.3149      ,
38, 0.10914     ,2.3163      ,
39, 0.11209     ,2.3176      ,
40, 0.11504     ,2.3189      ,
41, 0.11799     ,2.3202      ,
42, 0.12094     ,2.3215      ,
43, 0.12389     ,2.3228      ,
44, 0.12684     ,2.324       ,
45, 0.12979     ,2.3252      ,
46, 0.13274     ,2.3264      ,
47, 0.13569     ,2.3276      ,
48, 0.13864     ,2.3288      ,
49, 0.14159     ,2.3299      ,
50, 0.14454     ,2.331       ,
51, 0.14749     ,2.3321      ,
52, 0.15044     ,2.3332      ,
53, 0.15339     ,2.3342      ,
54, 0.15634     ,2.3353      ,
55, 0.15929     ,2.3363      ,
56, 0.16224     ,2.3373      ,
57, 0.16519     ,2.3382      ,
58, 0.16814     ,2.3391      ,
59, 0.17109     ,2.3401      ,
60, 0.17404     ,2.3409      ,
61, 0.17699     ,2.3418      ,
62, 0.17994     ,2.3426      ,
63, 0.18289     ,2.3434      ,
64, 0.18584     ,2.3442      ,
65, 0.18879     ,2.345       ,
66, 0.19174     ,2.3457      ,
67, 0.19469     ,2.3464      ,
68, 0.19764     ,2.3471      ,
69, 0.20059     ,2.3477      ,
70, 0.20354     ,2.3483      ,
71, 0.20649     ,2.3489      ,
72, 0.20944     ,2.3495      ,
73, 0.21239     ,2.35        ,
74, 0.21534     ,2.3505      ,
75, 0.21829     ,2.351       ,
76, 0.22124     ,2.3515      ,
77, 0.22419     ,2.3519      ,
78, 0.22714     ,2.3523      ,
79, 0.23009     ,2.3526      ,
80, 0.23304     ,2.353       ,
81, 0.23599     ,2.3533      ,
82, 0.23894     ,2.3536      ,
83, 0.24189     ,2.3538      ,
84, 0.24484     ,2.354       ,
85, 0.24779     ,2.3542      ,
